aakkosellinen	الفبایی
nolla	عدد صفر ، رمز ، حروف یا مهر رمزی ، حساب کردن (بارقام) ، صفر گذاردن ، برمزدراوردن, صفر ، هیچ ، معدوم, عدم ، هیچ, صفر ، هیچ ، مبداء ، محل شروع ، پایین ترین نقطه ، نقطه گذاری کردن ، روی صفرمیزان کردن
nolottaa	مغشوش شدن ، باهم اشتباه کردن ، اسیمه کردن ، گیج کردن ، دست پاچه کردن, احساس تحیر و وحشت کردن ، متوحش شدن, مشوش کردن ، دست پاچه کردن ، مبهوت کردن ، عدم هم اهنگی داشتن, سراسیمگی ، تپش ، بادناگهانی ، سراسیمه کردن ، اشفتن ، طوفان ناگهانی ، باریدن ناگهانی, سردواندن ، طفره ، بهانه ، عذر ، تعویق ، انصراف ، تاخیر کردن ، طفره رفتن ، ازسرباز کردن ، ببعد موکول کردن
nopea	تند ، تندرو ، سریع السیر ، جلد و چابک ، رنگ نرو ، پایدار ، باوفا ، سفت ، روزه ، روزه گرفتن ، فورا, تند ، چابک ، فرز ، چست ، جلد ، سریع ، زنده, تند ، سریع ، تندرو ، سریع العمل ، چابک, سریع السیر ، سریع ، چابک ، سرعت, سریع ، چابک ، تندرو ، فرز ، باسرعت
nopeasti	بسرعت ، تند
nopeus	نرخ ، میزان ، سرعت ، ارزیابی کردن, سرعت
noppa	طاس تخته نرد ، بریدن به قطعات کوچک ، نرد بازی کردن, جفت طاس
norja	ظریف ، خوشمزه ، لطیف ، نازک بین ، حساس, نرم ، چابک ، تاشو ، چالا ک ، بنرمی, نرم ، خم شو ، لا غر اندام,  نروژ, بلند وباریک ، باریک ، قلمی ، کم ، سست ، ضعیف ، ظریف ، قلیل, مقدار ناچیز ، شخص بی اهمیت ، ناچیز شماری ، بی اعتنایی ، تحقیر ، صیقلی ، تراز ، لا غر ، نحیف ، باریک اندام ، پست ، حقیر ، فروتن ، کودن ، قلیل ، اندک ، کم ، ناچیز شمردن ، تراز کردن, نازک ، لا غر ، باریک اندام ، لا غر شدن وکردن, نرم ، قابل ارتجاع ، کش دار ، تغییر پذیر ، نرم شدن ، راضی شدن ، انعطاف پذیر, شبیه جن هوایی
norjalainen	نروژی
norkoilla	لودگی یا بازی کردن ، پایگکوبی ، هرزه درایی, وقت را ببطالت گذاندن ، ول گشتن ، ور رفتن, درنگ کردن ، تاخیر کردن ، دیر رفتن ، مردد بودن ، دم اخر را گذراندن, قرص نان ، کله قند ، تکه ، وقت را بیهوده گذراندن ، ولگردی کردن, درنگ کردن ، تاخیر کردن ، دیرپاییدن ، پابپاورکردن ، معطل کردن ، باتنبلی حرکت کردن ، :کسیکه در رفتن تعلل کند ، پرسه زن, لمیدن ، لم دادن ، محل استراحت ولم دادن ، اطاق استراحت ، سالن استراحت ، صندلی راحتی ، تن اسایی ، وقت گذرانی به بطالت, کمین کردن ، در تکاپو بودن ، درکمین شکار بودن ، در انتظار فرصت بودن ، دزدکی عمل کردن ، در خفا انجام دادن, قیری ، قیراندود ، درنگ ، درنگ کردن ، تاخیر کردن
normaali	مرسوم ، مطابق ایین وقاعده ، پیرو سنت ورسوم, عادی ، معمول ، طبیعی ، میانه ، متوسط ، به هنجار, معمولی ، عادی ، متداول ، پیش پا افتاده, متعارف ، معیار ، استاندارد ، همگون
normi	هنجار ، اصل قانونی ، قاعده ، ماخذ قانونی ، مقیاس یا معیار ، حد وسط ، معدل
norsu	پیل ، فیل
nostaa	اهرم ، دیلم ، اهرم کردن ، بااهرم بلند کردن ، بااهرم تکان دادن, تبدیل به اهرم کردن ، شاهین ، میله ، میله اهرم
nostaa arvoa	قدردانی کردن (از) ، تقدیر کردن ، درک کردن ، احساس کردن ، بربهای چیزی افزودن ، قدر چیزی را دانستن, براورد کردن ، تقویم کردن ، قیمت کردن ، مطلع کردن ، اگاهی دادن
nostaa syyte	متهم کردن ، تهمت زدن, متهم بجنایت کردن ، مجرم خواندن ، جانی قلمداد کردن, متهم کردن ، بدادگاه جلب کردن ، احضار نمودن ، عیب گرفتن از ، عیب جویی کردن ، تردید کردن در ، باز داشتن ، مانع شدن ، اعلا م جرم کردن, مقصر قلمداد کردن ، بگناه متهم کردن ، گرفتارکردن ، تهمت زدن به ، گناهکارقلمداد نمودن
nostattaa	ادامه دادن ، جلورفتن ، وادار به عمل کردن ، بظهور رساندن, تسریع ردن ، شتاباندن ، شتافتن, وادار کردن ، اعوا کردن ، غالب امدن بر ، استنتاج کردن ، تحریک شدن ، تهییج شدن
nosto	بلندی ، جای بلند وبرامدگی ، ترفیع, بلند کردن ، کشیدن ، بزرگ کردن ، جابجا کردن ، باد کردن ، تقلا کردن, بلند کردن ، سرقت کردن ، بالا رفتن ، مرتفع بنظرامدن ، بلندی ، بالا بری ، یک وهله بلند کردن بار ، دزدی ، سرقت ، ترقی ، پیشرفت ، ترفیع ، اسانسور ، بالا رو ، جر ثقیل ، بالا بر, پس گرفتن ، باز گرفتن ، صرفنظر کردن ، بازگیری
nostokurki	ماهیخوار بزرگ وابی رنگ ، جرثقیل ، باجرثقیل بلند کردن یاتکان دادن ، درازکردن (گردن)
nosturi	ماهیخوار بزرگ وابی رنگ ، جرثقیل ، باجرثقیل بلند کردن یاتکان دادن ، درازکردن (گردن)
notkea	ماهر ، چالا ک ، زبردست ، چیره دست, کشدار ، قابل ارتجاع ، فنری ، سبک روح ، کشسان, خم شو ، تاشو ، نرم ، قابل انعطاف ، قابل تغییر
noudattaa	دست یافتن ، رسیدن ، راه یافتن ، ناءل شدن ، نزدیک شدن ، موافقت کردن ، رضایت دادن ، تن دردادن, چسبیدن ، پیوستن ، وفادار ماندن ، هواخواه بودن ، طرفدار بودن ، وفا کردن ، توافق داشتن ، متفق بودن ، جور بودن ، بهم چسبیده بودن, خوشنود کردن ، ممنون کردن ، پسندامدن ، اشتی دادن ، مطابقت کردن ، ترتیب دادن ، درست کردن ، خشم(کسیرا) فرونشاندن ، جلوس کردن ، ناءل شدن ، موافقت کردن ، موافق بودن ، متفق بودن ، همرای بودن ، سازش کردن, پیروی کردن از ، متابعت کردن ، دنبال کردن ، تعقیب کردن ، فهمیدن ، درک کردن ، در ذیل امدن ، منتج شدن ، پیروی ، استنباط ، متابعت, اطاعت کردن ، فرمانبرداری کردن ، حرف شنوی کردن ، موافقت کردن ، تسلیم شدن
noudattaminen	قبول ، اجابت ، بر اوردن
nousta	تخته ، تابلو, بالا رفتن ، صعود کردن ، ترقی کردن, بلند کردن ، بالا بردن ، ترفیع دادن ، عالی کردن ، نشاط دادن ، افراشتن, سوار شدن (بر) ، پیش رفتن ، کار کردن ، گذران کردن ، گذراندن, درست شدن ، برخاستن ، بلند شدن ، برخاست, بلند کردن ، سرقت کردن ، بالا رفتن ، مرتفع بنظرامدن ، بلندی ، بالا بری ، یک وهله بلند کردن بار ، دزدی ، سرقت ، ترقی ، پیشرفت ، ترفیع ، اسانسور ، بالا رو ، جر ثقیل ، بالا بر, برخاستن ، ترقی کردن ، ترقی خیز
nousta arvossa	براورد کردن ، تقویم کردن ، قیمت کردن ، مطلع کردن ، اگاهی دادن
nousta laivaan	درکشتی سوار کردن ، درکشتی گذاشتن ، عازم شدن ، شروع کردن, کشتی ، جهاز ، کشتی هوایی ، هواپیما ، با کشتی حمل کردن ، فرستادن ، سوار کشتی شدن ، سفینه ، ناو
nousta laivasta	پیاده کردن ، از کشتی در اوردن ، پیاده شدن ، تخلیه کردن (بار و مسافر)
nousta yls	چشمه ، جوهردان ، دوات ، ببالا فوران کردن ، روامدن اب ومایع ، درسطح امدن وجاری شدن ، :خوب ، تندرست ، سالم ، راحت ، بسیارخوب ، به چشم ، تماما ، تمام وکمال ، بدون اشکال ، اوه ، خیلی خوب
nousu	صعود ، عروج عیسی به اسمان ، معراج, سربالا یی ، فراز ، صعود ، ترقی ، عروج ، فرازروی, بالا رفتن ، صعود کردن ، ترقی کردن, طالع ، درحال ترقی یا صعود, بهبود امکانات ، ترفیع
nousuvesi	جریان ، روانی ، مد (برابر جزر) ، سلا ست ، جاری بودن ، روان شدن ، سلیس بودن ، بده ، شریدن
noutaa	اوردن ، رساندن به ، موجب شدن, اوردن ، رفتن واوردن ، بهانه ، طفره
novelli	داستان کوتاه
npp ill sointuja	عصب ، ریسمان ، وتر ، قوس ، زه ، تار
npp in	دکمه, کلید
npp r	ماهر ، زبردست ، کاردان ، چالا ک ، استادانه, ماهر ، چالا ک ، زبردست ، چیره دست
nrk stynyt	اوقات تلخ ، متغیر ، رنجیده ، خشمگین ، ازرده, زودرنج ، سایه دار ، دارای سو ظن ، بیمناک ، رنجیده خاط
nrk stys	خشم, تخطی ، غضب ، هتک حرمت ، از جا در رفتن ، سخت عصبانی شدن ، بی حرمت ساختن ، بی عدالتی کردن
ns.	باصطلا ح ، که چنین نامیده شده ، کذایی
nt	مژده دادن ، اعلا م کردن ، صریحا گفتن ، تلفظ کردن, تلفظ کردن ، رسما بیان کردن ، ادا کردن
ntti	نازنین ، دلپسند ، خوب ، دلپذیر ، مطلوب ، مودب ، نجیب, تاحدی ، قشنگ ، شکیل ، خوش نما ، خوب ، بطور دلپذیر ، قشنگ کردن ، اراستن
nuhde	گوشمالی ، توبیخ کردن ، ملا مت کردن ، ملا مت ، زخم زبان, سرزنش ، ملا مت, سرزنش کردن ، سرزنش و توبیخ رسمی ، مجازات, سرزنش ، نکوهش ، ملا مت ، توبیخ ملا یم
nuhdella	نصیحت کردن ، پند دادن ، اگاه کردن ، متنبه کردن ، وعظ کردن, سرزنش کردن ، گله کردن از ، غرغرکردن, سرزنش کردن ، نکوهش کردن ، ملا مت کردن
nuija	چماق ، گرز ، خال گشنیز ، خاج ، باشگاه ، انجمن ، کانون ، مجمع(vi&.vti):چماق زدن ، تشکیل باشگاه یا انجمن دادن, چماق ، چوب زدن ، چماق زدن, چوب پاسبان ، چوب قانون ، باتون ، عصا ، چماق ، باچماق یاباتون زدن
nuijia	چماق ، چوب زدن ، چماق زدن
nuiva	خنک ، خنک کردن
nukkua	چرم دباغی ، پوست گوساله و بره ، در بستر رفتن ، خوابیدن ، بستر, خواب ، خوابیدن ، خواب رفتن ، خفتن, چرت ، خواب سبک ، چرت زدن ، چرتی
nukkua pois	جفت طاس, مردن ، درگذشتن
nukkuja	خواب رونده ، خوابیده ، واگن تختخواب دار ، اهن زیر ساختمان
nukutus	حسگیر ، بیهوشی ، بی حسی ، داروی بیهوشی, بیهوشی ، هوش بری
nukutusaine	بیهوشانه ، داروی بی هوشی ، بی هوش کننده ، کم کننده ء حس
nulliteetti	بطلا ن ، بی اعتباری ، نیستی ، عدم ، پوچی ، صفر
numeerinen	انگشتی ، پنجه ای ، رقمی ، وابسته به شماره, عددی
